sequence_id,visible_filename,thermal_filename,visible_exists,thermal_exists,notes
0589,DJI_20260602140437_0589_V.JPG,DJI_20260602140437_0589_T.JPG,yes,yes,
0590,DJI_20260602140438_0590_V.JPG,DJI_20260602140438_0590_T.JPG,yes,yes,
0591,DJI_20260602140438_0591_V.JPG,DJI_20260602140438_0591_T.JPG,yes,yes,
0592,DJI_20260602140439_0592_V.JPG,DJI_20260602140439_0592_T.JPG,yes,yes,
0593,DJI_20260602140440_0593_V.JPG,DJI_20260602140440_0593_T.JPG,yes,yes,
0594,DJI_20260602140440_0594_V.JPG,DJI_20260602140441_0594_T.JPG,yes,yes,
0595,DJI_20260602140441_0595_V.JPG,DJI_20260602140441_0595_T.JPG,yes,yes,
0596,DJI_20260602140442_0596_V.JPG,DJI_20260602140442_0596_T.JPG,yes,yes,
0597,DJI_20260602140442_0597_V.JPG,DJI_20260602140443_0597_T.JPG,yes,yes,
0598,DJI_20260602140443_0598_V.JPG,DJI_20260602140443_0598_T.JPG,yes,yes,
0599,DJI_20260602140444_0599_V.JPG,DJI_20260602140444_0599_T.JPG,yes,yes,
0600,DJI_20260602140445_0600_V.JPG,DJI_20260602140445_0600_T.JPG,yes,yes,
0601,DJI_20260602140445_0601_V.JPG,DJI_20260602140445_0601_T.JPG,yes,yes,
0602,DJI_20260602140446_0602_V.JPG,DJI_20260602140446_0602_T.JPG,yes,yes,
0603,DJI_20260602140447_0603_V.JPG,DJI_20260602140447_0603_T.JPG,yes,yes,
0604,DJI_20260602140447_0604_V.JPG,DJI_20260602140448_0604_T.JPG,yes,yes,
0605,DJI_20260602140448_0605_V.JPG,DJI_20260602140448_0605_T.JPG,yes,yes,
0606,DJI_20260602140449_0606_V.JPG,DJI_20260602140449_0606_T.JPG,yes,yes,
0607,DJI_20260602140449_0607_V.JPG,DJI_20260602140450_0607_T.JPG,yes,yes,
0608,DJI_20260602140450_0608_V.JPG,DJI_20260602140450_0608_T.JPG,yes,yes,
0609,DJI_20260602140451_0609_V.JPG,DJI_20260602140451_0609_T.JPG,yes,yes,
0610,DJI_20260602140452_0610_V.JPG,DJI_20260602140452_0610_T.JPG,yes,yes,
0611,DJI_20260602140452_0611_V.JPG,DJI_20260602140452_0611_T.JPG,yes,yes,
0612,DJI_20260602140453_0612_V.JPG,DJI_20260602140453_0612_T.JPG,yes,yes,
0613,DJI_20260602140454_0613_V.JPG,DJI_20260602140454_0613_T.JPG,yes,yes,
0614,DJI_20260602140454_0614_V.JPG,DJI_20260602140455_0614_T.JPG,yes,yes,
0615,DJI_20260602140455_0615_V.JPG,DJI_20260602140455_0615_T.JPG,yes,yes,
0616,DJI_20260602140456_0616_V.JPG,DJI_20260602140456_0616_T.JPG,yes,yes,
0617,DJI_20260602140456_0617_V.JPG,DJI_20260602140457_0617_T.JPG,yes,yes,
0618,DJI_20260602140457_0618_V.JPG,DJI_20260602140457_0618_T.JPG,yes,yes,
0619,DJI_20260602140458_0619_V.JPG,DJI_20260602140458_0619_T.JPG,yes,yes,
0620,DJI_20260602140459_0620_V.JPG,DJI_20260602140459_0620_T.JPG,yes,yes,
0621,DJI_20260602140459_0621_V.JPG,DJI_20260602140459_0621_T.JPG,yes,yes,
0622,DJI_20260602140500_0622_V.JPG,DJI_20260602140500_0622_T.JPG,yes,yes,
0623,DJI_20260602140501_0623_V.JPG,DJI_20260602140501_0623_T.JPG,yes,yes,
0624,DJI_20260602140501_0624_V.JPG,DJI_20260602140502_0624_T.JPG,yes,yes,
0625,DJI_20260602140502_0625_V.JPG,DJI_20260602140502_0625_T.JPG,yes,yes,
0626,DJI_20260602140503_0626_V.JPG,DJI_20260602140503_0626_T.JPG,yes,yes,
0627,DJI_20260602140503_0627_V.JPG,DJI_20260602140504_0627_T.JPG,yes,yes,
0628,DJI_20260602140504_0628_V.JPG,DJI_20260602140504_0628_T.JPG,yes,yes,
0629,DJI_20260602140505_0629_V.JPG,DJI_20260602140505_0629_T.JPG,yes,yes,
0630,DJI_20260602140506_0630_V.JPG,DJI_20260602140506_0630_T.JPG,yes,yes,
